Category,Column1,_1,_2,_3,_4,User_query,Chatbot_response 
1,ความรู้เกี่ยวกับคอมพิวเตอร์และสารสนเทศ,,,,,,
,1.1,หลักการทำงานของคอมพิวเตอร์,,,,หลักการทำงานของคอมพิวเตอร์คืออะไร,คอมพิวเตอร์ทำงานตามวงจร Input → Process → Output → Storage โดยมี CPU เป็นหน่วยประมวลผลกลาง
,,1.1.1,ความหมายของคอมพิวเตอร์,,,คอมพิวเตอร์คืออะไร,คอมพิวเตอร์คืออุปกรณ์อิเล็กทรอนิกส์ที่สามารถรับข้อมูล ประมวลผล และแสดงผลลัพธ์ตามโปรแกรมที่กำหนดได้
,,1.1.2,หน่วยองค์ประกอบของระบบคอมพิวเตอร์,,,ระบบคอมพิวเตอร์ประกอบด้วยหน่วยอะไรบ้าง,ระบบคอมพิวเตอร์ประกอบด้วย หน่วยรับข้อมูล หน่วยประมวลผล หน่วยความจำ หน่วยแสดงผล
,1.2,การแบ่งประเภทของคอมพิวเตอร์,,,,,
,,1.2.1,แบ่งตามลักษณะการใช้งาน,,,คอมพิวเตอร์แบ่งตามการใช้งานได้อย่างไร,"คอมพิวเตอร์สามารถแบ่งตามลักษณะการใช้งานได้ เช่น ส่วนบุคคล, ธุรกิจ, วิทยาศาสตร์, และงานเฉพาะทาง"
,,,1.2.1.1,คอมพิวเตอร์ใช้งานทั่วไป,,คอมพิวเตอร์ใช้งานทั่วไปคืออะไร,คอมพิวเตอร์ใช้งานทั่วไปคือเครื่องที่ใช้ในชีวิตประจำวัน เช่น คอมพิวเตอร์ตั้งโต๊ะ โน้ตบุ๊ก สำหรับงานเอกสาร เล่นอินเทอร์เน็ต และความบันเทิง
,,,1.2.1.2,คอมพิวเตอร์ใช้งานเฉพาะด้าน,,คอมพิวเตอร์ใช้งานเฉพาะด้านคืออะไร,คอมพิวเตอร์ใช้งานเฉพาะด้านถูกออกแบบมาเพื่อทำงานเฉพาะ เช่น เครื่องควบคุมการบิน เครื่องมือแพทย์ หรือระบบอุตสาหกรรม
,,1.2.2,แบ่งตามความสามารถในการเก็บข้อมูลและความเร็วในการประมวลผล,,,คอมพิวเตอร์แบ่งตามความสามารถในการเก็บข้อมูลและความเร็วได้อย่างไร,"สามารถแบ่งออกเป็น 4 ประเภทหลัก ได้แก่ Supercomputer, Mainframe, Minicomputer, และ Microcomputer"
,,,1.2.2.1,ซุปเปอร์คอมพิวเตอร์,,ซุปเปอร์คอมพิวเตอร์คืออะไร,ซุปเปอร์คอมพิวเตอร์คือคอมพิวเตอร์ที่มีความเร็วสูงมาก ใช้สำหรับงานวิจัยทางวิทยาศาสตร์ การคำนวณเชิงซับซ้อน และการจำลองสถานการณ์
