Category,,,,,,User_query,Chatbot_response 
1,ความรู้เกี่ยวกับคอมพิวเตอร์และสารสนเทศ,,,,,,
,1.1,หลักการทำงานของคอมพิวเตอร์,,,,,
,,1.1.1,ความหมายของคอมพิวเตอร์,,,คอมพิวเตอร์คืออะไร,คอมพิวเตอร์คืออุปกรณ์อิเล็กทรอนิกส์ที่สามารถรับข้อมูล ประมวลผล และแสดงผลลัพธ์ตามโปรแกรมที่กำหนดได้
,,1.1.2,หน่วยองค์ประกอบของระบบคอมพิวเตอร์,,,ระบบคอมพิวเตอร์ประกอบด้วยหน่วยอะไรบ้าง,ระบบคอมพิวเตอร์ประกอบด้วย หน่วยรับข้อมูล หน่วยประมวลผล หน่วยความจำ หน่วยแสดงผล
,1.2,การแบ่งประเภทของคอมพิวเตอร์,,,,,
,,1.2.1,แบ่งตามลักษณะการใช้งาน,,,,
,,,1.2.1.1,คอมพิวเตอร์ใช้งานทั่วไป,,คอมพิวเตอร์ใช้งานทั่วไปคืออะไร,คอมพิวเตอร์ใช้งานทั่วไปคือเครื่องที่ใช้ในชีวิตประจำวัน เช่น คอมพิวเตอร์ตั้งโต๊ะ โน้ตบุ๊ก สำหรับงานเอกสาร เล่นอินเทอร์เน็ต และความบันเทิง
,,,1.2.1.2,คอมพิวเตอร์ใช้งานเฉพาะด้าน,,คอมพิวเตอร์ใช้งานเฉพาะด้านคืออะไร,คอมพิวเตอร์ใช้งานเฉพาะด้านถูกออกแบบมาเพื่อทำงานเฉพาะ เช่น เครื่องควบคุมการบิน เครื่องมือแพทย์ หรือระบบอุตสาหกรรม
,,1.2.2,แบ่งตามความสามารถในการเก็บข้อมูลและความเร็วในการประมวลผล,,,,
,,,1.2.2.1,ซุปเปอร์คอมพิวเตอร์,,ซุปเปอร์คอมพิวเตอร์คืออะไร,ซุปเปอร์คอมพิวเตอร์คือคอมพิวเตอร์ที่มีความเร็วสูงมาก ใช้สำหรับงานวิจัยทางวิทยาศาสตร์ การคำนวณเชิงซับซ้อน และการจำลองสถานการณ์
,,,1.2.2.2,เมนเฟรมคอมพิวเตอร์,,เมนเฟรมคอมพิวเตอร์คืออะไร,เมนเฟรมคอมพิวเตอร์คือเครื่องขนาดใหญ่ที่รองรับการทำงานพร้อมกันของผู้ใช้จำนวนมาก เหมาะกับองค์กรหรือธนาคาร
,,,1.2.2.3,มินิคอมพิวเตอร์,,มินิคอมพิวเตอร์คืออะไร,มินิคอมพิวเตอร์มีขนาดเล็กกว่าเมนเฟรม แต่สามารถรองรับงานหลายผู้ใช้ ใช้ในองค์กรขนาดกลาง
,,,1.2.2.4,ไมโครคอมพิวเตอร์,,ไมโครคอมพิวเตอร์คืออะไร,ไมโครคอมพิวเตอร์คือคอมพิวเตอร์ส่วนบุคคล เช่น PC และ Laptop ที่ใช้ทั่วไป
,1.3,ปัจจัยในการใช้งานคอมพิวเตอร์,,,,,
,,1.3.1,ฮาร์ดแวร์,,,,
,,,1.3.1.1,ความหมายของฮาร์ดแวร์,,ฮาร์ดแวร์คืออะไร,"ฮาร์ดแวร์คือส่วนประกอบที่เป็นอุปกรณ์จับต้องได้ของคอมพิวเตอร์ เช่น CPU, RAM, Hard Disk"
,,,1.3.1.2,อุปกรณ์ภายในตัวเครื่อง,,อุปกรณ์ภายในคอมพิวเตอร์มีอะไรบ้าง,"อุปกรณ์ภายในประกอบด้วย CPU, RAM, Mainboard, Hard Disk, Power Supply"
,,,1.3.1.3,อุปกรณ์อินพุต,,อุปกรณ์อินพุตคืออะไร,อุปกรณ์อินพุตคืออุปกรณ์ที่ใช้ป้อนข้อมูลเข้าสู่คอมพิวเตอร์ เช่น แป้นพิมพ์ เมาส์ สแกนเนอร์
,,,1.3.1.4,อุปกรณ์เอาท์พุต,,อุปกรณ์เอาท์พุตคืออะไร,อุปกรณ์เอาท์พุตคืออุปกรณ์ที่ใช้แสดงผลข้อมูล เช่น จอภาพ เครื่องพิมพ์
